UF;MUNICIPIO;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
PR;ANTONIO OLINTO;2442;0;248;26;499;101;0;1;13;1030;111;48;0;62;17;0;0;0;2;0;8
PR;APUCARANA;53135;0;2851;841;7886;2955;0;67;417;16713;4305;366;0;1307;1170;29;18;0;6;32;985
PR;ARAPONGAS;49238;0;3546;1001;7274;2675;0;321;289;17487;9319;207;0;1457;1250;10;11;0;6;42;862
PR;ARAPOTI;8872;0;901;295;2040;614;0;20;45;2529;480;94;0;288;364;0;0;0;2;12;143
PR;ARAPUA;1011;0;142;35;315;26;0;0;7;666;62;34;0;26;62;0;2;0;0;0;5
PR;ARARUNA;4841;0;509;93;1076;200;0;5;26;2270;461;57;0;145;115;1;2;0;1;7;34
PR;ARAUCARIA;59997;0;3160;2214;7111;3194;0;45;377;12002;1740;659;1;1923;3370;17;18;0;36;11;621
PR;ARIRANHA DO IVAI;723;0;63;7;251;19;0;0;5;394;10;24;0;6;14;0;0;0;0;0;2
PR;ASSAI;6219;0;534;61;1160;304;0;28;35;2316;612;53;0;100;93;0;1;0;1;4;53
PR;ASSIS CHATEAUBRIAND;14328;0;1375;344;3360;620;0;28;70;4652;2623;112;0;730;428;1;2;0;3;14;201
PR;ASTORGA;9874;0;820;345;2093;474;0;28;66;2910;1578;114;0;426;587;1;0;0;0;7;114
PR;ATALAIA;1397;0;149;44;342;66;0;1;12;608;139;39;0;80;67;0;0;0;0;1;5
PR;BALSA NOVA;4772;0;426;148;791;273;1;6;47;1677;287;170;0;202;217;1;2;0;1;4;43
PR;BANDEIRANTES;12377;0;998;142;2039;641;0;35;68;4166;1294;127;0;457;191;3;2;0;3;19;165
PR;BARBOSA FERRAZ;3478;0;282;10;764;103;0;1;13;1902;317;45;0;54;17;1;0;0;6;3;18
PR;BARRA DO JACARE;904;0;73;5;166;32;0;1;7;492;54;20;0;20;6;0;0;0;0;1;6
PR;BARRACAO;5423;0;402;512;889;240;0;1;33;1108;211;55;0;126;547;2;7;0;1;0;71
PR;BELA VISTA DO CAROBA;1346;0;103;17;230;36;0;0;8;784;45;32;0;14;20;0;0;0;2;1;8
PR;BELA VISTA DO PARAISO;6872;0;495;288;1242;384;0;16;43;1491;433;82;0;318;500;1;0;0;2;5;81
PR;BITURUNA;6055;0;608;81;1519;249;0;5;33;1493;494;221;0;128;127;2;0;0;0;4;50
