UF;MUNICIPIO;TIPO DE VEICULO;QUANTIDADE
MG;LAGOA GRANDE;QUADRICICLO;0
MG;LAGOA SANTA;QUADRICICLO;0
MG;LAJINHA;QUADRICICLO;0
MG;LAMBARI;QUADRICICLO;0
MG;LAMIM;QUADRICICLO;0
MG;LARANJAL;QUADRICICLO;0
MG;LASSANCE;QUADRICICLO;0
MG;LAVRAS;QUADRICICLO;0
MG;LEANDRO FERREIRA;QUADRICICLO;0
MG;LEME DO PRADO;QUADRICICLO;0
MG;LEOPOLDINA;QUADRICICLO;0
MG;LIBERDADE;QUADRICICLO;0
MG;LIMA DUARTE;QUADRICICLO;0
MG;LIMEIRA DO OESTE;QUADRICICLO;0
MG;LONTRA;QUADRICICLO;0
MG;LUISBURGO;QUADRICICLO;0
MG;LUISLANDIA;QUADRICICLO;0
MG;LUMINARIAS;QUADRICICLO;0
MG;LUZ;QUADRICICLO;0
MG;MACHACALIS;QUADRICICLO;0
MG;MACHADO;QUADRICICLO;0
MG;MADRE DE DEUS DE MINAS;QUADRICICLO;0
MG;MALACACHETA;QUADRICICLO;0
MG;MAMONAS;QUADRICICLO;0
MG;MANGA;QUADRICICLO;0
MG;MANHUACU;QUADRICICLO;0
MG;MANHUMIRIM;QUADRICICLO;0
MG;MANTENA;QUADRICICLO;0
MG;MAR DE ESPANHA;QUADRICICLO;0
MG;MARAVILHAS;QUADRICICLO;0
MG;MARIA DA FE;QUADRICICLO;0
MG;MARIANA;QUADRICICLO;0
MG;MARILAC;QUADRICICLO;0
MG;MARIO CAMPOS;QUADRICICLO;0
MG;MARIPA DE MINAS;QUADRICICLO;0
MG;MARLIERIA;QUADRICICLO;0
MG;MARMELOPOLIS;QUADRICICLO;0
MG;MARTINHO CAMPOS;QUADRICICLO;0
MG;MARTINS SOARES;QUADRICICLO;0
MG;MATA VERDE;QUADRICICLO;0
MG;MATERLANDIA;QUADRICICLO;0
MG;MATEUS LEME;QUADRICICLO;0
MG;MATHIAS LOBATO;QUADRICICLO;0
MG;MATIAS BARBOSA;QUADRICICLO;0
MG;MATIAS CARDOSO;QUADRICICLO;0
MG;MATIPO;QUADRICICLO;0
MG;MATO VERDE;QUADRICICLO;0
MG;MATOZINHOS;QUADRICICLO;0
MG;MATUTINA;QUADRICICLO;0
MG;MEDEIROS;QUADRICICLO;0
MG;MEDINA;QUADRICICLO;0
MG;MENDES PIMENTEL;QUADRICICLO;0
MG;MERCES;QUADRICICLO;0
MG;MESQUITA;QUADRICICLO;0
MG;MINAS NOVAS;QUADRICICLO;0
MG;MINDURI;QUADRICICLO;0
MG;MIRABELA;QUADRICICLO;0
MG;MIRADOURO;QUADRICICLO;0
MG;MIRAI;QUADRICICLO;0
MG;MIRAVANIA;QUADRICICLO;0
MG;MOEDA;QUADRICICLO;0
MG;MOEMA;QUADRICICLO;0
MG;MONJOLOS;QUADRICICLO;0
MG;MONSENHOR PAULO;QUADRICICLO;0
MG;MONTALVANIA;QUADRICICLO;0
MG;MONTE ALEGRE DE MINAS;QUADRICICLO;0
MG;MONTE AZUL;QUADRICICLO;0
MG;MONTE BELO;QUADRICICLO;0
MG;MONTE CARMELO;QUADRICICLO;0
MG;MONTE FORMOSO;QUADRICICLO;0
MG;MONTE SANTO DE MINAS;QUADRICICLO;0
MG;MONTE SIAO;QUADRICICLO;0
MG;MONTES CLAROS;QUADRICICLO;0
MG;MONTEZUMA;QUADRICICLO;0
MG;MORADA NOVA DE MINAS;QUADRICICLO;0
MG;MORRO DA GARCA;QUADRICICLO;0
MG;MORRO DO PILAR;QUADRICICLO;0
MG;MUNHOZ;QUADRICICLO;0
MG;MURIAE;QUADRICICLO;0
